step,dt,imu_dx,imu_dy,imu_dz,imu_droll,imu_dpitch,imu_dyaw,gnss_x,gnss_y,gnss_z,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw
0,0.1,0.8,0.3,0.0,0.0,0.0,0.0,-0.055166922453276604,-0.03625123201222199,-0.039090262865902836,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.8033443257329876,0.2999848996244487,0.0006688913330960155,0.0,0.0,0.001070202190891621,0.09368322539301839,0.017569453490500327,0.006391041708902093,0.08033443257329877,0.02999848996244487,6.688913330960156e-05,0.0,0.0,0.00010702021908916211
2,0.1,0.806687716284098,0.29993960001793707,0.0013377527386145263,0.0,0.0,0.002140212851714467,0.20315533274192543,0.102889277438027,0.023959846504600313,0.16100320420170855,0.05999244996423858,0.00020066440717105417,0.0,0.0,0.00032104150426060885
3,0.1,0.8100292367329611,0.29986410574073896,0.0020065542903170493,0.0,0.0,0.0032098404866771806,0.21946769797088383,0.0522322464471249,-0.0403393855307518,0.24200612787500467,0.08997886053831247,0.0004013198362027591,0.0,0.0,0.0006420255529283269
4,0.1,0.8133679526821482,0.2997584243928006,0.002675266064643084,0.0,0.0,0.004278893668537104,0.3061501802535065,0.11738569828824585,-0.04794483742605078,0.3233429231432195,0.11995470297759253,0.0006688464426670675,0.0,0.0,0.0010699149197820374
5,0.1,0.8167029305184597,0.2996225666129756,0.003343858142048955,0.0,0.0,0.005347181072859296,0.34828883954721435,0.1652022206091038,-0.09158101924606611,0.4050132161950655,0.1499169596388901,0.001003232256871963,0.0,0.0,0.001604633027067967
6,0.1,0.8200332376739929,0.2994565460779539,0.004012300608346476,0.0,0.0,0.006414511512257146,0.478163864553806,0.20115389761054556,-0.04786331800236681,0.48701653996246475,0.17986261424668548,0.0014044623177066108,0.0,0.0,0.0022460841782936817
7,0.1,0.8233579428869197,0.29926037950088513,0.004680563556041365,0.0,0.0,0.0074806939706084635,0.5137046277193499,0.17175735057493197,0.0342737481151335,0.5693523342511567,0.209788652196774,0.0018725186733107473,0.0,0.0,0.002994153575354528
8,0.1,0.8266761164618959,0.2990340866296957,0.00534861708567138,0.0,0.0,0.008545537637240917,0.645528378076771,0.14621219921765802,-0.018760075108701223,0.6520199458973464,0.2396920608597436,0.0024073803818778854,0.0,0.0,0.00384870733907862
9,0.1,0.8299868305300356,0.29877769024510137,0.006016431307144069,0.0,0.0,0.009608851941080705,0.7857134689402498,0.31875559710898776,0.03451112104908592,0.73501862895035,0.2695698298842537,0.0030090235125922924,0.0,0.0,0.004809592533186691
